"","Name","Team","Height"
"1","Juhamatti Tapio Aaltonen","Finland",184
"2","Paavo Johannes Aaltonen","Finland",175
"3","Paavo Johannes Aaltonen","Finland",175
"4","Paavo Johannes Aaltonen","Finland",175
"5","Paavo Johannes Aaltonen","Finland",175
"6","Paavo Johannes Aaltonen","Finland",175
"7","Kjetil Andr Aamodt","Norway",176
"8","Kjetil Andr Aamodt","Norway",176
"9","Kjetil Andr Aamodt","Norway",176
"10","Kjetil Andr Aamodt","Norway",176
"11","Kjetil Andr Aamodt","Norway",176
"12","Kjetil Andr Aamodt","Norway",176
"13","Kjetil Andr Aamodt","Norway",176
"14","Kjetil Andr Aamodt","Norway",176
"15","Pepijn Aardewijn","Netherlands",189
"16","Ann Kristin Aarnes","Norway",182
"17","Giovanni Abagnale","Italy",198
"18","Jos Luis Abajo Gmez","Spain",194
"19","Patimat Abakarova","Azerbaijan",165
"20","Mariya Vasilyevna Abakumova (-Tarabina)","Russia",179
"21","Aleksey Aleksandrovich Abalmasov","Belarus",180
"22","Luc Abalo","France",182
"23","Luc Abalo","France",182
"24","Luc Abalo","France",182
"25","Jouan Patrice Abanda Etong","Cameroon",185
"26","Jos Mara Abarca Plotas","Spain",186
"27","Stephen Anthony Abas","United States",165
"28","Alejandro Abascal Garca","Spain",181
"29","Jos Manuel Abascal Gmez","Spain",182
"30","Tamila Rashidovna Abasova","Russia",163
"31","Jol Marc Abati","France",190
"32","Pter Abay","Hungary",181
"33","Agostino Abbagnale","Italy",188
"34","Agostino Abbagnale","Italy",188
"35","Agostino Abbagnale","Italy",188
"36","Carmine Abbagnale","Italy",182
"37","Carmine Abbagnale","Italy",182
"38","Carmine Abbagnale","Italy",182
"39","Giuseppe Abbagnale","Italy",187
"40","Giuseppe Abbagnale","Italy",187
"41","Giuseppe Abbagnale","Italy",187
"42","Desmond ""Des"" Abbott","Australia",184
"43","Jeremy Abbott","United States",175
"44","Monica Cecilia Abbott","United States",191
"45","Nia Nicole Abdallah","United States",175
"46","Saeid Morad Abdevali","Iran",170
"47","Reema Abdo","Canada",173
